sn,project_name,street_name,type,postal_district,market_segment,tenure,number_of_units,total_price,area_sq,type_of_area,floor_level,ppsf,date_of_sale
176,THE CORNWALL,CORNWALL GARDENS,Condominium,10,CCR,Freehold,1,1835000,1044,Strata,01 to 05,1757,Oct-14
177,VALLEY PARK,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1920000,1216,Strata,06 to 10,1579,Oct-14
178,THE LEVELZ,FARRER ROAD,Condominium,10,CCR,Freehold,1,1507000,980,Strata,06 to 10,1539,Oct-14
179,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,1750000,1173,Strata,16 to 20,1492,Oct-14
180,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1345000,678,Strata,01 to 05,1983,Oct-14
181,RIDGEWOOD,MOUNT SINAI DRIVE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,2060000,1615,Strata,16 to 20,1276,Oct-14
182,DUCHESS CREST,DUCHESS AVENUE,Condominium,10,CCR,99 yrs lease commencing from 1995,1,5100000,4241,Strata,-,1203,Oct-14
183,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,3785760,2013,Strata,01 to 05,1881,Oct-14
184,NATHAN RESIDENCES,NATHAN ROAD,Apartment,10,CCR,Freehold,1,1530000,775,Strata,06 to 10,1974,Oct-14
185,D'GROVE VILLAS,ORANGE GROVE ROAD,Condominium,10,CCR,Freehold,1,4650000,2702,Strata,06 to 10,1721,Oct-14
186,SOMMERVILLE PARK,FARRER DRIVE,Condominium,10,CCR,Freehold,1,1953000,1302,Strata,01 to 05,1499,Oct-14
187,THREE THREE ROBIN,ROBIN ROAD,Apartment,10,CCR,Freehold,1,3260000,1636,Strata,06 to 10,1993,Oct-14
188,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1795000,861,Strata,06 to 10,2084,Oct-14
189,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1700000,861,Strata,01 to 05,1974,Oct-14
